Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Les Engagés,2,,Virginie Denis,https://ds1.static.rtbf.be/uploader/pdf/6/c/f/beta_057a71f1fce7c1fd29d8b45a7062cbb0.pdf,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/4630_62099_Soumagne_LES ENGAGÉS.pdf,https://ds1.static.rtbf.be/uploader/image/7/c/e/beta_c3edd486c328592a0d079d6958bb8ab6.jpg
PS,3,,Marie-Dominique Iafrate,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/4630_62099_Soumagne_PS.pdf,https://ds1.static.rtbf.be/uploader/image/7/9/5/beta_2e56a774cd8298d1ff736948b373e7b4.jpg
Avec le bourgmestre,7,MR,Benjamin Houet,https://dd5e78ce-bdc9-47d0-8a95-57c9cb02fda4.filesusr.com/ugd/f77ecf_befdd8ce89d0409d926283dabf289362.pdf,https://dd5e78ce-bdc9-47d0-8a95-57c9cb02fda4.filesusr.com/ugd/f77ecf_0403aa6e8385430fba90752fe965d55f.pdf,https://ds1.static.rtbf.be/uploader/image/7/7/d/beta_0744b56830e782513c7f3de6503d5bc3.jpg
Citoyen GO - Alternative,8,,David Lebeau,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/4630_62099_Soumagne_Citoyen GO - Alternative.pdf,https://ds1.static.rtbf.be/uploader/image/9/4/c/beta_8e0be45e48bb7de7adde7018f61e2618.jpg
Ici Soumagne,9,Citoyens,Peter Bragard,https://icisoumagne.be/bk/,https://icisoumagne.be/bk/,https://ds1.static.rtbf.be/uploader/image/3/7/3/beta_ec1b6077c644a280a47b8135f6ec7356.jpg
