Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
ECOLO,1,,Guido Deutz,,,
Spplus,3,,Martin Peters,,,
Mit Uns,7,,Erwin Güsting,,,
CSL,8,,Mario Pitz,,,
