Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Liste du Bourgmestre,,MR,Violaine Herbaux,https://www.facebook.com/leclercqsilly/?locale=fr_FR,https://www.facebook.com/leclercqsilly/?locale=fr_FR,https://ds1.static.rtbf.be/uploader/image/8/1/2/beta_711ad95752f30d798732fb84e27986c3.jpeg
ECOLO,,,Ingrid Roucloux,https://ds1.static.rtbf.be/uploader/pdf/d/3/9/beta_d388573c9a69580796729c16b4e0db9a.pdf,https://ds1.static.rtbf.be/uploader/pdf/f/c/c/beta_520cba25fb6d367e93890d27668c2e47.pdf,https://ds1.static.rtbf.be/uploader/image/1/4/7/beta_584309f55132386a53205afa919bb9e9.png
Sens,,Les Engagés,Freddy Limbourg,https://senssilly.com/programme-communal-2024,https://senssilly.com/equipe,https://ds1.static.rtbf.be/uploader/image/6/e/4/beta_db80da77aa4b735ec1d91fbe3c4aeffb.jpg
Silly c'est vous,,PS  DéFI et indépendants,Aurore Walravens,https://www.facebook.com/p/Silly-cest-VOUS-61558624611970/?paipv=0&eav=AfbbB5XDBkE-LQvEP-SuZJ2lgfYCV6vcvoPG2LihhBg59_bdS0HdaAGGP6SGI6c3DEk&_rdr,https://www.facebook.com/p/Silly-cest-VOUS-61558624611970/?paipv=0&eav=AfbbB5XDBkE-LQvEP-SuZJ2lgfYCV6vcvoPG2LihhBg59_bdS0HdaAGGP6SGI6c3DEk&_rdr,https://ds1.static.rtbf.be/uploader/image/5/7/5/beta_7ac7a74098a8c8d5a1932f635f008b83.png
