Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
PS Thuin par Cœur,3,PS,Marie-Eve Van Lathem,https://thuinparcoeur.be/?fbclid=IwY2xjawFGS95leHRuA2FlbQIxMAABHVXXIwkv4TuiTl730UNRVomxB2ImkUov0akuT5rAgPJGtrE_vyaHknM6Bg_aem_NbelS7iIahYh_1SSP73fPQ,,https://ds1.static.rtbf.be/uploader/image/1/3/6/beta_e20b1d34f5e3e6db88048ce1dfab1245.jpg
MR Bleus de Thuin,5,MR,Rachel Sobry,,,https://ds1.static.rtbf.be/uploader/image/d/6/2/beta_202749d039f187461ba9de6bf914058d.jpg
IC,2,Les Engagés,Carine Cosyns,,,
Ecolo,1,,Robin Glineur,,,
