Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Liste du bourgmestre,3,PS,Nicolas Martin,,https://www.facebook.com/profile.php?id=61563527504156,https://ds1.static.rtbf.be/uploader/image/7/f/f/beta_b9e3e53779c352122326c14fc1fa6739.jpeg
Mons en Mieux,,MR,Georges-Louis Bouchez,https://monsenmieux.be/programme/,,https://ds1.static.rtbf.be/uploader/image/9/4/b/beta_7b85f25fcda411fb8cb22ea0f91cfe32.jpeg
Ecolo,1,,Charlotte De Jaer,https://mons.ecolo.be/nos-priorites/,https://mons.ecolo.be/nos-candidates-et-candidats/,https://ds1.static.rtbf.be/uploader/image/2/8/b/rtbfinfo_a7634f699a420cb071df303f76fbc202.jpeg
Les Engagés,2,,Pascale Grandjean,https://www.lesengages-mons.be/notre-programme/,http://www.lesengages-mons.be/,https://ds1.static.rtbf.be/uploader/image/b/3/c/rtbfinfo_53b0f6e5d224c34964cc5ae4fbefb4d1.jpeg
PTB,4,,Céline De Bruyn,https://mons.ptb.be/programme,https://mons.ptb.be/candidats,https://ds1.static.rtbf.be/uploader/image/6/b/4/beta_1d6ad18ba84c086f313f15c8f388e7e7.jpg
Lutte Ouvrière,,,Michel Woodbury,https://lutte-ouvriere.be/,,https://ds1.static.rtbf.be/uploader/image/8/1/b/beta_d48ad2abed269973ea771159a8ec94b1.jpg
