Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Liste de la bourgmestre,,MR,Benedicte Poll,https://www.lbseneffe.be/?fbclid=IwY2xjawFXatpleHRuA2FlbQIxMAABHdOJO-FFzLscJ_ha94w5CotS_AF44cidxbAWqMflThDYVMu78gD82IYdcw_aem_FzWvpJDmSLmA5zDXumWAgQ,https://www.lbseneffe.be/?fbclid=IwY2xjawFXatpleHRuA2FlbQIxMAABHdOJO-FFzLscJ_ha94w5CotS_AF44cidxbAWqMflThDYVMu78gD82IYdcw_aem_FzWvpJDmSLmA5zDXumWAgQ,https://ds1.static.rtbf.be/uploader/image/8/5/8/beta_4b8013d894379eb688a80af1ecc47795.jpg
PS,,PS,Michaël Carpin,https://www.seneffeps.be/?fbclid=IwY2xjawFXbNlleHRuA2FlbQIxMAABHRBrPPpf8OOYFnKlK0rA34H5J9aonlLlRyThi-FjuuJE5ARF7ODI4iYTVQ_aem_A580Pu0CcPC5xx3FYF37Ow,https://www.seneffeps.be/?fbclid=IwY2xjawFXbNlleHRuA2FlbQIxMAABHRBrPPpf8OOYFnKlK0rA34H5J9aonlLlRyThi-FjuuJE5ARF7ODI4iYTVQ_aem_A580Pu0CcPC5xx3FYF37Ow,https://ds1.static.rtbf.be/uploader/image/7/a/d/beta_2be6cc63e9ae3e30271ea5f2aeb1b688.jpg
Ecolo,,Ecolo,Michel Scheys,https://seneffe.ecolo.be/,https://seneffe.ecolo.be/,https://ds1.static.rtbf.be/uploader/image/8/0/a/beta_2583c09bcc42f71325420570db093a11.jpg
Engagés,,Engagés,Dominique Janssens,https://seneffe.lesengages.be/programme/,https://seneffe.lesengages.be/nos-visages/,https://ds1.static.rtbf.be/uploader/image/1/1/4/beta_38545b8b5231c1514e7ee0aa61a6bef1.jpg
