Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Liste du bourgmestre,,,Boris Dilliès,https://lb-uccle.be/,https://www.lb-uccle.be/,https://ds1.static.rtbf.be/uploader/image/0/f/5/beta_8d5cf139e1cf8535e3748b68114c3293.jpg
Ecolo,,,Thibaud Wyngaard,https://uccle.ecolo.be/,https://uccle.ecolo.be/nos-candidates-et-candidats/,https://ds1.static.rtbf.be/uploader/image/3/e/9/beta_a2646b12ec11d8d922f1ff8e305e1f7a.jpg
Uccle en Avant,,,Marc Cools,https://www.uccle-en-avant.be/,,https://ds1.static.rtbf.be/uploader/image/b/e/7/beta_cc9058dad1e1597d271139aa506b1f58.jpg
PS,,,Bernard Hayette,programme PSUccle v2 web.pdf - Google Drive,,https://ds1.static.rtbf.be/uploader/image/f/4/5/beta_b4642531d481d0ceb2a0db8cfbce15d8.png
Les Engagés,,,Elisabeth Degryse,https://www.facebook.com/CDHuccle,https://www.lesengages.be/noscandidats/,https://ds1.static.rtbf.be/uploader/image/7/c/7/lapremiere_55019b087b24087e3423b8a0f1f0cee8.jpg
NVA,,,Damien Angelet,https://brussel.n-va.be/onderwerpen/ukkel,,https://ds1.static.rtbf.be/uploader/image/4/b/d/lapremiere_b79e9b4b33562cc6ef0c9868512b06bd.jpg
