Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
ECOLO,1,,Nadia El Abassi,https://eur01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fvillers-la-ville.ecolo.be%2Fnotre-programme%2F&data=05%7C02%7Chpay%40rtbf.be%7C22e8922d19fb4e83014a08dce9f5079a%7C103cfb3e3dfd4a4483ce455a2d25db06%7C0%7C0%7C638642485838180718%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=rwYbv3yJZ0yNffSJscyHHecZ2CHoCfq7DAbSiSK1tVs%3D&reserved=0,https://eur01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fvillers-la-ville.ecolo.be%2Fnos-candidat-e-s%2F&data=05%7C02%7Chpay%40rtbf.be%7C22e8922d19fb4e83014a08dce9f5079a%7C103cfb3e3dfd4a4483ce455a2d25db06%7C0%7C0%7C638642485838200329%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=a4Bh0hrstprJXCTssli3kujuzOxuEmrR3nWfyanXG2s%3D&reserved=0,https://ds1.static.rtbf.be/uploader/image/0/b/5/rtbfinfo_05be2c449a017dc6e04e58660c50e2b9.png
MR,5,,Emmanuel Burton,https://www.facebook.com/mrvillerslaville?fbclid=IwY2xjawFfo1RleHRuA2FlbQIxMAABHYcZjvZ168Cu3yZfVK2OPkD9-JUwmMkskN3CLIsouIPQINVr_Fpel5n2oA_aem_nU7dNXX9I2IXtnCnldY8Vw,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1495_25107_Villers-la-Ville_MR.pdf,https://ds1.static.rtbf.be/uploader/image/4/4/e/rtbfinfo_d3e99793ae1f06ee59f2cc887c6d5497.png
EPV,9,PS   Les Engagés   URC,Robin Perpète,https://www.facebook.com/ensemblepourvillers,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1495_25107_Villers-la-Ville_EPV.pdf,https://ds1.static.rtbf.be/uploader/image/c/d/8/rtbfinfo_a4bc0a4b8a67b31926cc4fafdd30aafa.png
