Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
1030 Ensemble,,,Georges Verzin,,,https://ds1.static.rtbf.be/uploader/image/c/5/f/beta_2c596b70db44c76cef07f0ce4a8aaec8.jpg
ECOLO-GROEN,,,Vincent Vanhaelewyn,,,https://ds1.static.rtbf.be/uploader/image/a/d/c/beta_fdcbaf38ba9bbb03e4202c585d4e6524.jpg
LB Défi,,,Bernard Clerfayt,,,https://ds1.static.rtbf.be/uploader/image/8/0/4/beta_083e4e70f1d7f477942f5ee1a64662ca.jpg
MR Engagés,,,Audrey Henry,,https://www.mr.be/audrey-henry-est-la-nouvelle-tete-de-liste-a-schaerbeek/,https://ds1.static.rtbf.be/uploader/image/9/6/b/beta_90d726face7ddb044226fbda4ed3d884.png
PS,,,Hasan Koyuncu,,,https://ds1.static.rtbf.be/uploader/image/8/d/8/beta_f82b411d061eb4dd67c91e13c41c56d8.jpg
PTB,,,Leila Lahssaini,,,https://ds1.static.rtbf.be/uploader/image/f/a/a/beta_e55f823a1b8c6d8e647a05178495495e.jpg
Team Fouad Ahidar,,,Elias Ammi ,,,https://ds1.static.rtbf.be/uploader/image/e/0/3/beta_da6c187f5ed5801d12438e1e5e2bb3bd.png
Vooruit+,,,Hannelore Goeman,,,https://ds1.static.rtbf.be/uploader/image/0/8/1/beta_376a752727eccb7e5a42aad5a1865850.jpg
