Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
PS,3,PS,Jean-Charles Luperto,https://www.facebook.com/p/PS-Sambreville-100064185541122/?paipv=0&eav=AfZMIOUqFeWf557V2B-mL5vH1XAGFwJAThki4IZZy8NNocfj1w0hP67K8QmXTC4F9Xc&_rdr,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5060_92137_Sambreville_PS.pdf,https://ds1.static.rtbf.be/uploader/image/7/d/1/rtbfinfo_16a9bd8977fe9abf8fa067baedccecab.jpg
UDLi,9,,Philippe Kerbush,https://udlisambreville.com/2024/05/10/quelques-points-de-notre-programme/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5060_92137_Sambreville_UDLI.pdf,https://ds1.static.rtbf.be/uploader/image/1/8/c/rtbfinfo_0fce7b79b1308cedd16e2eae145a000f.jpg
Ensemble,8,Les Engagés  MR,Olivier Bordon,https://www.ensemble5060.be/gouvernance.php,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5060_92137_Sambreville_ENSEMBLE.pdf,https://ds1.static.rtbf.be/uploader/image/c/d/e/rtbfinfo_3e059d3e8f7a3b3759765ac6b94ae137.jpg
Ecolo 5060,1,Ecolo,Marie Masia,https://sambreville.ecolo.be/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5060_92137_Sambreville_ECOLO.pdf,https://ds1.static.rtbf.be/uploader/image/2/e/f/rtbfinfo_6fdafa2cb23817cce212070a51c19f97.jpg
PTB,4,,Guiseppe Genco,https://sambreville.ptb.be/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5060_92137_Sambreville_PTB.pdf,https://ds1.static.rtbf.be/uploader/image/f/2/a/beta_d826121bd2646c5b3bc3608f1f7c2c4b.png
