Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
HDM,,MR,Marc Drouguet,https://www.facebook.com/hervedemain2018/?locale=fr_FR,https://www.facebook.com/hervedemain2018/?locale=fr_FR,https://ds1.static.rtbf.be/uploader/image/3/0/e/beta_de75a8b29c6c5f3d307589093316cf5c.jpg
EPH,,Engagés  Ecolo  citoyens,Marie-Martine Schyns,https://www.facebook.com/epHerve/?locale=fr_FR,https://www.facebook.com/epHerve/?locale=fr_FR,https://ds1.static.rtbf.be/uploader/image/6/8/b/beta_1eb9011847907b4c68cf9f1ecd57daed.jpg
PS,,PS,Chanelle Bonaventure,https://www.facebook.com/HervePS/?locale=fr_FR,https://www.facebook.com/HervePS/?locale=fr_FR,https://ds1.static.rtbf.be/uploader/image/e/7/9/beta_ed5c5672c218197e3d18d0b998d95785.jpg
