Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Liste du Bourgmestre,7,PS,Eric Thiébaut,https://www.hensies2024.be/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/7350_53039_Hensies_E Bourgmestre.pdf,https://ds1.static.rtbf.be/uploader/image/d/6/9/beta_10096ac06ed69fc17c2a6501a1d53716.jpg
Osons changer,6,MR + les Engagés,Caroline Horgnies,https://www.facebook.com/Osons.Changer.entite.de.Hensies,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/7350_53039_Hensies_OC.pdf,https://ds1.static.rtbf.be/uploader/image/c/4/c/beta_73567b0b8a2f34deca97cb3f388a63cb.jpg
