Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
PS,,,Antoine Poli,,,https://ds1.static.rtbf.be/uploader/image/5/3/1/beta_e24569fe11defe60885c82aac1942d34.jpg
Générations Chaudfontaine,,PS  Ecolo  Citoyens,Axel Noël,,,https://ds1.static.rtbf.be/uploader/image/8/4/3/beta_f6d5a5bbb91dfed1643065936649b836.jpg
UP ! Unis pour Chaudfontaine,,MR  Engagés,Daniel Bacquelaine,,,https://ds1.static.rtbf.be/uploader/image/5/7/2/beta_e57b75f9edd08270460ba6efc1bdded4.jpg
Réveil Citoyen Chaudfontaine,,Citoyens,Olivier Grondal,,,https://ds1.static.rtbf.be/uploader/image/9/0/c/beta_240e7aea0e4390b3c207beb8058ee5a4.png
