Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
ECOLO,1,,Laurent Masson,https://lasne.ecolo.be/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1380_25119_Lasne_ECOLO.pdf,https://ds1.static.rtbf.be/uploader/image/a/4/b/rtbfinfo_f8f8d457f8d5401f22252c8f776508f6.png
MR,5,,Laurence Rotthier,https://mrlasne.be/?fbclid=IwY2xjawFfsedleHRuA2FlbQIxMAABHTIUXrEy1Bmp4AtpVBS_okIxBVWQ4naeewPcNQeXMTNH0ER_EzirhOrj9A_aem_W3UdmOfLZwXyntgAmFolSQ,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1380_25119_Lasne_MR.pdf,https://ds1.static.rtbf.be/uploader/image/0/d/6/rtbfinfo_97bba6dcdd969175fc2e2d68c7623453.png
LNP,8,,Patrick Bush,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1380_25119_Lasne_LNP.pdf,
