Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Dynamique citoyenne,6,,Dominique Prignon,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6850_84050_Paliseul_DYNAMIQUE CITOYENNE.pdf,
Action pour vous,7,,Philippe Léonard,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6850_84050_Paliseul_ACTIONS POUR VOUS.pdf,https://ds1.static.rtbf.be/uploader/image/4/8/d/beta_d53d794bc1f960602c2602b5e0f66c78.jpeg
Vision 2030,8,,François Lagneau,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6850_84050_Paliseul_VISION 2030.pdf,https://ds1.static.rtbf.be/uploader/image/c/d/1/beta_e87093cecd47b393afb3b04ad4d95b16.jpeg
