Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
La liste du Mayeur ,,MR / PS,Henri Christophe,,,https://ds1.static.rtbf.be/uploader/image/5/d/8/rtbfinfo_4148671c8a2eea04671567ffaa083535.jpg
Osons Nous Engager ,,Sans apparentement ,Yoann Guelder,,https://www.facebook.com/profile.php?id=61565636783046,https://ds1.static.rtbf.be/uploader/image/f/8/3/rtbfinfo_4d8cb2d894ee7be256e812efd64342a9.jpg
