Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
BS+,7,,Shayne Piront,,,
A.G.,8,,Alain Stellmann,,,
F.W.,9,,Rudy Lallemand,,,
