Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
MR+,6,,Amélie Pans,https://ameliepans.be/wp-content/uploads/2024/09/MRWSL-Depliant-programme-SD.pdf,https://ameliepans.be/candidats2024/,https://ds1.static.rtbf.be/uploader/image/0/6/8/beta_2e86362c710e57e84602a009ad30b9cb.jpeg
PS-Vooruit,1,,Ariane Wautelet,https://pswsl.be/wp-content/uploads/2024/07/Programme-PS-WSL-2024-1.pdf,https://pswsl.be/,https://ds1.static.rtbf.be/uploader/image/f/3/4/beta_e4c3e0ccc199299055b334ecfd72ac43.jpeg
Ecolo-Groen,4,,Elsa Boonen,https://woluwe-saint-lambert.ecolo.be/,https://woluwe-saint-lambert.ecolo.be/,https://ds1.static.rtbf.be/uploader/image/3/1/d/beta_b2a7e2727f3192a116e7ac3877d659ce.jpeg
Les Engagés,8,,Jean-François Thayer,https://www.lesengages.be/111-propositions-phares-pour-changer-de-modele/,https://www.lesengages.be/noscandidats/,https://ds1.static.rtbf.be/uploader/image/f/f/d/lapremiere_b1b7cb4a44fd7865c9591c9397caba4d.png
Liste du Bourgmestre,2,DéFi,Olivier Maingain,https://drive.google.com/file/d/1GDoktKO6N1p6--poF9kbwoJmraOz3lek/view,https://www.listedubourgmestre-wsl.be/vos-candidats/,https://ds1.static.rtbf.be/uploader/image/9/f/2/beta_a468e670b835ee3a99b0ba686c73b0f5.png
Team Fouad Ahidar+1200,11,,Faress Dabour,https://fouadahidar.com/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1200_21018_Woluwe-Saint-Lambert_Team Fouad Ahidar1200.pdf,
