Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
 EQUILibr,6,,Jonathan Martin,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6800_84077_Libramont-Chevigny_EQUILibr.pdf,https://ds1.static.rtbf.be/uploader/image/6/d/6/beta_a467737482aefc8c2f04b1b40b410612.jpeg
Chevy&vous,7,,Laurence Crucifix,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6800_84077_Libramont-Chevigny_Chevy  Vous.pdf,https://ds1.static.rtbf.be/uploader/image/3/8/4/beta_745d6c53d5af9512570ca3e808aedb3b.jpeg
