Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
PS,3,,Paul-Olivier Delannois,https://pstournai.be/projet-politique/,,https://ds1.static.rtbf.be/uploader/image/e/7/1/beta_0a102de753c300720e0dcbd4487a2c29.jpg
MR ,5,,Vincent Lucas,https://www.facebook.com/TournaiMR/,,https://ds1.static.rtbf.be/uploader/image/1/4/9/beta_a8fefd009fd667e8c1cd45467d64ebd7.jpg
Ecolo,1,,Coralie Ladavid,https://tournai.ecolo.be/notre-programme/,,https://ds1.static.rtbf.be/uploader/image/5/8/7/beta_5b8d2e26167783cf296102b3a2ab84d2.jpg
Les Engagés,2,,Benjamin Brotcorne,https://tournai.lesengages.be/programme/,,https://ds1.static.rtbf.be/uploader/image/a/0/b/beta_73da36398c20e60c2f10f4b543ceab0c.jpg
PTB,4,,Eléonore van den Bogaert,https://tournai.ptb.be/,,https://ds1.static.rtbf.be/uploader/image/f/d/9/beta_dabf76f32bc440e2d9bfac225c43ce4b.png
