Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Liste des Citoyens de La Hulpe,,,Sarah Wagschal,https://www.listedescitoyens-lahulpe.be/programme-2024,https://www.listedescitoyens-lahulpe.be/candidats-2024,https://static.wixstatic.com/media/3f3bdd_cb155ccaa4c74f559776c77b5eb9ee93~mv2.png/v1/fill/w_224 h_224 al_c q_85 usm_0.66_1.00_0.01 enc_auto/3f3bdd_cb155ccaa4c74f559776c77b5eb9ee93~mv2.png
Liste du bourgmestre,MR  PS  Les Engagés,, Xavier Verhaeghe,https://lahulpelb.be/programme/,https://lahulpelb.be/nos-candidats/,https://lahulpelb.be/wp-content/uploads/2024/08/xa-1-3073289389-e1721326466589-edited.jpg
Vahl,Ecolo  Défi,,Julie Drossaert,https://eur01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwe.tl%2Ft-KyY5syBG10&data=05%7C02%7CVefo%40rtbf.be%7C1b95f9d2e62e46f35ef408dcd1a97671%7C103cfb3e3dfd4a4483ce455a2d25db06%7C0%7C0%7C638615773012475096%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=%2BQuybHhU%2FKWjMJ%2FafxSCHK6HEUxTDGyo0V2O%2BtZ%2FoOE%3D&reserved=0,,
