Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
ECOLO,1,,Martin Fanuel,https://www.facebook.com/EcoloWalcourt,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5650_93088_Walcourt_ECOLO.pdf,https://ds1.static.rtbf.be/uploader/image/f/3/5/beta_07f7ab75a480fc4f3dcd062af1234ebb.png
PS,3,,Christine Poulin,https://pswalcourt.be/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5650_93088_Walcourt_PS.pdf,https://ds1.static.rtbf.be/uploader/image/7/6/0/beta_363e00b102ce480bb93a3aa3835b4a9e.png
MR EC,5,,Nicolas Preyat,https://sites.google.com/view/mr-ec-walcourt/accueil?fbclid=IwY2xjawFfYkRleHRuA2FlbQIxMAABHe5VQz7mNJwrxptHtgVYuE8LP4-ZVwgfyPRC4MmLxnRV2gtrjTANhy_cfA_aem_z1XhjG5JhZeraX2UVCwL5g7,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5650_93088_Walcourt_MR EC.pdf,https://ds1.static.rtbf.be/uploader/image/d/2/c/beta_caf4bd17d59492ec3471baf45b5d14a0.png
UNION,8,,Léon-Hervé Revers,https://union-walcourt.be/showpage.cfm?name=programme&idsite=66,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5650_93088_Walcourt_UNION.pdf,https://ds1.static.rtbf.be/uploader/image/c/6/6/beta_475f4091aeac9763dc8e6796cfa96f77.png
