Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Union Villageoise,8,MR,Hélène Lebrun,https://uvhouyet.be/elections/notre-programme/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5560_91072_Houyet_UV.pdf,https://ds1.static.rtbf.be/uploader/image/a/9/0/rtbfinfo_660301ab267fe4ad45719772e8178ca6.jpg
Vert Vous,10,Ecolo,Christina Dewart,https://ds1.static.rtbf.be/uploader/pdf/3/a/c/beta_451a0efe64847ea6fcaa6de8b2b68015.pdf,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5560_91072_Houyet_Vert Vous.pdf,https://ds1.static.rtbf.be/uploader/image/c/4/e/beta_0e061f4114bd3e10b3011c2bf9c00468.png
Motivaction,9,Les Engagés,Didier Rouard,https://ds1.static.rtbf.be/uploader/pdf/e/1/f/beta_2d6627cc9050a679d363db1bf5330465.pdf,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5560_91072_Houyet_MotivAction.pdf,https://ds1.static.rtbf.be/uploader/image/f/b/7/rtbfinfo_4a32ab55818e44eced7f4155c3c0d45f.jpg
