Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
PS-Vooruit,,,Fabrice Cumps,,,https://ds1.static.rtbf.be/uploader/image/8/e/2/beta_06dd9123307ba641fc0586e3a10be363.jpg
MR-Engagés-Open Vld- CD&V,,,Gaëtan Van Goidsenhoven,,,https://ds1.static.rtbf.be/uploader/image/7/9/e/beta_6455cc6bff6d6ea2de7a42d289b70f2e.png
Défi,,,Kévin Charlier,,,https://ds1.static.rtbf.be/uploader/image/6/b/6/beta_0679300dab255a2769db5e1c6e9fbc1a.jpeg
Ecolo-Groen,,,Nadia Kammachi,,,https://ds1.static.rtbf.be/uploader/image/b/c/6/beta_a9fb5ef35b9578a73699c027c7529bed.jpg
Ptb-Pvda,,,Patricia Polanco,,,https://ds1.static.rtbf.be/uploader/image/6/7/e/beta_b7362171bc076824e929b44c5d3cd54f.jpg
