Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Videm,7,,François Wautelet,https://ds1.static.rtbf.be/uploader/pdf/0/c/7/rtbfinfo_1f954e8a9805d6d9ac41b5bc667906ff.pdf,https://www.videm.be/liste.html,https://ds1.static.rtbf.be/uploader/pdf/7/2/2/beta_9639548bdf6890cb197419cdf157027f.pdf
Vivre4530,8,PS,Christine Collignon,https://ds1.static.rtbf.be/uploader/pdf/1/5/c/beta_cc65bf6faedd308e257553bccc105edc.pdf,https://www.facebook.com/profile.php?id=61552187667952,https://ds1.static.rtbf.be/uploader/image/d/3/a/beta_c584a344359927141d5047407a7ffe63.jpg
Groupe Ensemble,9,MR,Aline Devillers-Saal,https://ds1.static.rtbf.be/uploader/pdf/9/f/c/beta_60092ca02f7621771409e9f40728e71a.pdf,https://www.facebook.com/p/Groupe-Ensemble-VLB-100066682621582/,https://ds1.static.rtbf.be/uploader/image/4/8/7/beta_7de7cb24208368b803a6f963b6fe20a9.jpg
