Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Unisvers L du Bourgmestre,6,,François Huberty,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6840_84043_Neufchâteau_UnisVers L du Bourgmestre.pdf,https://ds1.static.rtbf.be/uploader/image/a/5/c/beta_b8dabc00615e92cdf078b1bb13f2ba50.png
Osons !,7,,Mariline Clementz,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6840_84043_Neufchâteau_Osons.pdf,https://ds1.static.rtbf.be/uploader/image/8/6/7/beta_77dba74101b7a2cb52b0a1c1baac5fd5.jpg
Tous pour vous,8,,Simon Defat,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6840_84043_Neufchâteau_TOUS POUR VOUS.pdf,https://ds1.static.rtbf.be/uploader/image/a/1/f/beta_64b01230941bd6452afb46bffc36420d.jpg
ACeP,9,,Jean Jacobs,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6840_84043_Neufchâteau_A C e P.pdf,
