Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
LB1970,9,,Jérôme Delcourt,https://lb1970.be/nos-priorites/,https://lb1970.be/nos-candidats/,https://ds1.static.rtbf.be/uploader/image/b/7/6/beta_87e2b55898df1c9e7ede7cc683a3a358.jpg
WOplus,8,,Anne Sterkmans,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1970_23103_Wezembeek-Oppem_WOplus.pdf,https://ds1.static.rtbf.be/uploader/image/5/9/e/beta_5bfe452b64e7d4f6d9df1a566d540a9c.png
Horizon,10,,Nicolas Célis,https://www.horizon-wo.be/accueil,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1970_23103_Wezembeek-Oppem_Horizon.pdf,https://ds1.static.rtbf.be/uploader/image/b/f/5/beta_ff72e6758c87c0224dbd92b1937ebee0.jpg
