Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
PS,3,PS,Gianni Galuzzo,https://www.facebook.com/psfontaineleveque/?locale=fr_FR,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6140_52022_Fontaine-lEvêque_PS.pdf,https://ds1.static.rtbf.be/uploader/image/d/9/6/beta_8764ac4fe70ef1773432eb52122e2756.jpeg
Mieux Demain ,7,MR  Ecolo  Les Engagés   Citoyens ,Barbara Osselaer,https://www.facebook.com/mieuxdemainfontaine/?locale=fr_FR,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6140_52022_Fontaine-lEvêque_MD.pdf,https://ds1.static.rtbf.be/uploader/image/c/e/b/beta_cdea077fbc6190c80ccb2ea88d30b42a.jpg
Union Essentielle,8,Liste citoyenne,Noël Van Kerckhoven ,https://www.facebook.com/profile.php?id=61561883792029&locale=fr_FR,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6140_52022_Fontaine-lEvêque_UE.pdf,https://ds1.static.rtbf.be/uploader/image/1/4/1/beta_3ad31c246f2e5e0abc730eda06d03c9e.png
Défi ,9,Défi ,Véronique Vandepontseele ,https://www.facebook.com/profile.php?id=61564978031290&locale=fr_FR,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6140_52022_Fontaine-lEvêque_DEFI.pdf,https://ds1.static.rtbf.be/uploader/image/1/9/b/rtbfinfo_1737f617c6fe333ad1c1e93d86e7d8de.png
