Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Ecolo,1,,Claudia Niessen,,,https://ds1.static.rtbf.be/uploader/image/5/1/a/beta_9ffe9f58a5414e887bd3376fc891553a.jpg
CSP,2,,Thomas Lennertz,,,https://ds1.static.rtbf.be/uploader/image/5/b/0/beta_9e69ba57015e11688fb2a222723647ba.png
SPplus,3,PS,Alexandra Barth-Vandenhirtz,,,https://ds1.static.rtbf.be/uploader/image/f/6/0/beta_ba50202433c88df00accfd783fc11167.jpg
PFF-MR Eupen,5,MR,Lucas Reul,,,https://ds1.static.rtbf.be/uploader/image/4/1/d/beta_00dcd4d66b79d09efb9621a004021a77.jpg
OBL,7,ProDG / Citoyens,Nicolas Pommée,,,https://ds1.static.rtbf.be/uploader/image/d/2/5/beta_aa2eb86f026e0726bfa215d189e51f03.jpeg
