Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
PS - La Liste de la Bourgmestre,,PS,Fabienne Winckel,https://www.facebook.com/ps.soignies?locale=fr_FR,https://www.facebook.com/ps.soignies?locale=fr_FR,https://ds1.static.rtbf.be/uploader/image/5/9/a/beta_5d79d49f3f9036b23dde903461f39a10.jpg
Ensemble,,Liste citoyenne (tête de liste Les Engagés,Sonia Depas-Lefèbvre,https://www.facebook.com/EnsembleSoignies,https://www.ensemble-soignies.be/notre-equipe-2024/,https://ds1.static.rtbf.be/uploader/image/1/8/6/beta_34a43531f661c72366c6465fbc0cfe00.jpeg
ECOLO,,,Quentin Dumont,https://eur01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fsoignies.ecolo.be%2Fprogramme%2F&data=05%7C02%7Cxla%40rtbf.be%7C89bb05d5c2d34e9058b908dcd7f5b63b%7C103cfb3e3dfd4a4483ce455a2d25db06%7C0%7C0%7C638622697544310573%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=rFbbQK9HcLt8Xd%2B0KeYo5dNHpb566QxNSrinRm%2BTUcA%3D&reserved=0,https://eur01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fsoignies.ecolo.be%2Fnos-candidat-e-s-et-notre-programme%2F&data=05%7C02%7Cxla%40rtbf.be%7C89bb05d5c2d34e9058b908dcd7f5b63b%7C103cfb3e3dfd4a4483ce455a2d25db06%7C0%7C0%7C638622697544322032%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=qH34oItOTdAjhiCC%2B1LWuk4GMVHzRRuJKD1Ghs%2FetL0%3D&reserved=0,https://ds1.static.rtbf.be/uploader/image/f/2/6/beta_ee8584502cc788c705b2431f59915c97.jpg
MR,,,Benoît Brillet,https://eur01.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.mrsoignies.be%2F&data=05%7C02%7Cjmlp%40rtbf.be%7Cc469755890ae4e9ea2a108dcd27da522%7C103cfb3e3dfd4a4483ce455a2d25db06%7C0%7C0%7C638616684337035997%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=gtUHjo1f6VoOt3%2B9xaSID0AQBgqRIgRlkmBhharoemo%3D&reserved=0,https://eur01.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.mrsoignies.be%2F&data=05%7C02%7Cjmlp%40rtbf.be%7Cc469755890ae4e9ea2a108dcd27da522%7C103cfb3e3dfd4a4483ce455a2d25db06%7C0%7C0%7C638616684337035997%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=gtUHjo1f6VoOt3%2B9xaSID0AQBgqRIgRlkmBhharoemo%3D&reserved=0,https://ds1.static.rtbf.be/uploader/image/3/2/a/beta_ad5c201d58534c6209d5c48aa4e43907.jpg
Avenir Sonégien,,Liste citoyenne,Steve Flament,https://www.avenirsonegien.com/,https://www.avenirsonegien.com/,https://ds1.static.rtbf.be/uploader/image/7/1/5/beta_6a441d9fe7c80ead7f715e2f985abfee.jpg
