Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
ECOLO,1,,Christine Dotremont,https://chaumont-gistoux.ecolo.be/nos-candidat-e-s-et-notre-programme/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1325_25018_Chaumont-Gistoux_ECOLO.pdf,
Ensemble,8,,Bérangère Aubecq,https://www.ensemblechaumontgistoux.be/programme/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1325_25018_Chaumont-Gistoux_Ensemble.pdf,
Avec vous 1325,9,,Pierre Landrain,https://avecvous1325.be/notre-programme/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1325_25018_Chaumont-Gistoux_Avec vous 1325.pdf,
VILLAGES,10,,Philippe Barras,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1325_25018_Chaumont-Gistoux_VILLAGES.pdf,
