Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
IC +,6,,Elodie Baudry,https://www.ic-virton.be/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6760_85045_Virton_IC.pdf,https://ds1.static.rtbf.be/uploader/image/e/9/2/beta_07b167bb2260136e5048f020ad83c258.jpg
Ecolo +,1,,Anne Bastin,https://ecolo.be/programme-2024/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6760_85045_Virton_ECOLO.pdf,https://ds1.static.rtbf.be/uploader/image/1/2/1/beta_8d977524c178c8194a6b9bc333b1fbed.png
PS,3,,Angèle Duvivier,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6760_85045_Virton_PS Virton.pdf,https://ds1.static.rtbf.be/uploader/image/b/1/e/beta_1ebd144b109f0865dd732b9ca9ff1d22.jpg
Citoyens Engagés,7,,Etienne Chalon,https://communale2024.citoyens-virton.be/programmev2,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6760_85045_Virton_Citoyens.pdf,https://ds1.static.rtbf.be/uploader/image/5/2/7/beta_960908c9f246c905a1fd6fbf76dc397e.jpg
Vision commune ,8,,Pierrot Jossart,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6760_85045_Virton_Vision Commune.pdf,https://ds1.static.rtbf.be/uploader/image/3/4/7/beta_e3974a8678ed08f8d98ff22ccf9f8ae8.png
0,,,,,,
