Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
IC-MR,5,Engagés- MR,Jonathan Burtaux,https://icmrsombreffe.be/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5140_92114_Sombreffe_IC-MR.pdf,https://ds1.static.rtbf.be/uploader/image/7/f/a/rtbfinfo_a7a3deacaf2982df2356552e7864bbd7.jfif
Osons Ensemble,8,Ecolo,Valérie Delporte,https://sombreffe.ecolo.be/wp-content/uploads/sites/449/2024/09/programme.pdf,https://sombreffe.ecolo.be/,https://ds1.static.rtbf.be/uploader/image/b/2/6/rtbfinfo_2b279f8df3f7737f54ba3819598bfa38.jpg
Autrement,9,,Philippe Leconte,https://www.facebook.com/profile.php?id=61564164695190&locale=fr_FR,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5140_92114_Sombreffe_AUTREMENT.pdf,https://ds1.static.rtbf.be/uploader/image/6/a/f/beta_853a8d07e7553682c1a8682560b02c30.png
PS,3,,Betty Hainaut,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5140_92114_Sombreffe_PS.pdf,https://ds1.static.rtbf.be/uploader/image/7/8/8/rtbfinfo_0f7e0c2f2b35aa72c78e2e7b9e8b7d3d.jpeg
