Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Unis,,,Jehanne Detrixhe,,,https://ds1.static.rtbf.be/uploader/image/8/e/d/beta_5313ef219393347f8eb5d642cf67b95e.jpg
ICI,,,Eddy Fontaine,,,https://ds1.static.rtbf.be/uploader/image/b/3/c/beta_cd7e970048a79de1a4f03db768524795.png
Vrai,,,François Moriamé,,,https://ds1.static.rtbf.be/uploader/image/2/d/1/beta_348034e690edacbe08137cb4e6893406.jpeg
ECOLO-GIC,,,Sarah Noël,https://couvin.ecolo.be/,,https://ds1.static.rtbf.be/uploader/image/f/9/9/beta_dcb5d9bc4f160ecd50ad83f22e3d6ff7.png
