Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Alternative Ecolo,1,Ecolo,Sébastien Voyneau,https://ferrieres.ecolo.be/nos-propositions/,https://ferrieres.ecolo.be/nos-candidates-et-candidats/,https://ds1.static.rtbf.be/uploader/image/c/2/3/rtbfinfo_7a2a40bd025d80cead6f0367c6a4fc52.jpg
Ferr Ensemble,7,,Frédéric Léonard,https://www.facebook.com/ferrensemble/,https://www.facebook.com/ferrensemble/,https://ds1.static.rtbf.be/uploader/image/8/e/4/beta_3dde9ffcfe2c829ab592d2030ac49b9e.jfif
C@P CITOYENS,8,,Yvon Rollin,https://www.facebook.com/p/Cap-Citoyens-61557907372572/,https://www.facebook.com/p/Cap-Citoyens-61557907372572/,https://ds1.static.rtbf.be/uploader/image/b/d/e/beta_cea915300c7550834804e7d1c2b3ea48.jpg
FCC,9,,Yvan Dave,,,
