Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Bourgmestre +,8,PS,Michel Lemmens ,,,https://ds1.static.rtbf.be/uploader/image/6/5/e/beta_8e6ca7ffdf0b4f8b948a7c1921296dc4.jpg
Vivre Nandrin ,7,MR ,Christophe Ovidio ,https://ds1.static.rtbf.be/uploader/pdf/5/b/4/beta_5cf5994e68fa0df9251ca98cb3c8e8f5.pdf,https://ds1.static.rtbf.be/uploader/pdf/5/b/4/beta_5cf5994e68fa0df9251ca98cb3c8e8f5.pdf,https://ds1.static.rtbf.be/uploader/pdf/0/2/c/beta_2f0b3607c69b69d154f45c1e952483f8.pdf
Ensemble créons demain,9,Ecolo ,Sébastien Herbiet,,,https://ds1.static.rtbf.be/uploader/image/1/9/f/beta_a2fcdf80ad6a3d49ab9b080b5bd4f210.jpg
