Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Ambition,10,,Richard Fournaux,,,https://ds1.static.rtbf.be/uploader/image/9/a/2/beta_689d6fb689d960dc591d37052b22a593.jpg
Dinamic,8,,Omer Laloux,,,https://ds1.static.rtbf.be/uploader/image/3/b/1/beta_ca4ad549155d4b2e70d5f44f761e2db7.jpg
Pour vouS,11,,Linda Culot,,,https://ds1.static.rtbf.be/uploader/image/3/9/6/beta_8c64209928fc146a454d810be3df2e41.jpg
Avenir,9,,Thierry Bodlet,,,https://ds1.static.rtbf.be/uploader/image/b/8/7/rtbfinfo_41393b4ef228a64b81b410292a5f0d33.jpg
