Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Liste du Bourgmestre,8,,Erwin Ollivier,https://eur01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.wemmel.org%2Ffr%2F&data=05%7C02%7Cxla%40rtbf.be%7C744369bbcabe40ae411a08dcd7ce9d1f%7C103cfb3e3dfd4a4483ce455a2d25db06%7C0%7C0%7C638622529606155276%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=JrArFouwxGc71lZg8cA89vkqZhMn2pfUG9uX%2FGd7QMI%3D&reserved=0,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1780_23102_Wemmel_LB Wemmel.pdf,https://ds1.static.rtbf.be/uploader/image/7/b/7/beta_caff61ac7357e7142a7363352ff8f210.jpg
Wemmel Plus,9,,Christian Andries,https://www.facebook.com/story.php/?story_fbid=122146653986274374&id=61558231244711&paipv=0&eav=AfZj1l6vg9jOlykxWy3-5LDX2oxh8TkgxiffyPhxPJMAZpOq4EiOSFsuxBgaPj9Xd3s&_rdr,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1780_23102_Wemmel_WEMMEL PLUS.pdf,https://ds1.static.rtbf.be/uploader/image/7/3/1/beta_c8ffcd02b6402a4001c518b646b121e8.jpg
Intérêts communaux,10,,Roger Mertens,https://www.facebook.com/p/Int%C3%A9r%C3%AAts-Communaux-Wemmel-100069170800681/?paipv=0&eav=AfbRsikTBrWonw30KvI8eg8HtZ5i5wQoYTWrEd4vYWua3I9XSY8pPxZaDdlR7paFRHU&_rdr,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/1780_23102_Wemmel_IC-GB.pdf,https://ds1.static.rtbf.be/uploader/image/9/7/2/beta_d74f77b9854ac2c244cf029001a983f8.png
