Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Liste du Bourgmestre (LDB),8,PS,Roger Vanderstraeten,https://www.facebook.com/profile.php?id=61564475343630,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/7320_51009_Bernissart_LdB.pdf,https://ds1.static.rtbf.be/uploader/image/3/2/f/beta_c357a1fc21d284272e6bf2c422c6aeae.jpg
Ecolo,1,Ecolo,Maud Wattiez,https://bernissart.ecolo.be/elections-2024/programme/,https://bernissart.ecolo.be/nos-candidat-e-s/,https://ds1.static.rtbf.be/uploader/image/8/2/2/beta_bd2f08a48332c0aaa63e419853414161.jpg
MR 6tem-IC,5,MR ,Didier Delpomdor,https://www.facebook.com/mr.6temic.bernissart,https://www.facebook.com/mr.6temic.bernissart/posts/pfbid0jWdnYPQBP1E5s1yEicWzuzkohozg4CoK7taAU9nJfF929A9wf6YemEVVAFNRxyPEl,https://ds1.static.rtbf.be/uploader/image/8/c/b/beta_cf84d0e3258460087f385d558be1ecfe.jpg
100% citoyens,7,,Laurent Deweer,https://onedrive.live.com/?id=4FA4D3D97F431941%21143&resid=4FA4D3D97F431941%21143&ithint=file%2Cpdf&authkey=%21AJ4Jbl39nz0bw5k&cid=4fa4d3d97f431941,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/7320_51009_Bernissart_100 Citoyens.pdf,https://ds1.static.rtbf.be/uploader/image/8/5/1/beta_fe2d7c6e1e0fa09a8f2566c5edcbc53d.jpg
