Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Défi,,,Laura Squartini,,,https://ds1.static.rtbf.be/uploader/image/c/b/0/beta_5af3fafaf250601d35eb479f8ec63961.jpg
Ecolo-Groen,,,Tristan Roberti,,,https://ds1.static.rtbf.be/uploader/image/d/a/d/beta_499e679c4d80c8be7a9c12f3f2907403.jpg
PS,,,Martin Casier,,,https://ds1.static.rtbf.be/uploader/image/7/8/b/beta_ac79be90d79901a7e624e6ec21c9b0a0.jpg
MR-GM/Les Engagés,,,David Leisterh,,,https://ds1.static.rtbf.be/uploader/image/a/7/e/beta_a8cf0a515f36e7d9403fd50bc3bd0556.jpg
Récupérons Nos Voix,,,Roland De Wind,,https://www.rnv-1170.be/category/candidats/,https://ds1.static.rtbf.be/uploader/image/0/c/c/beta_5dc7e553f02c8c11c0395bfb7d76a6ce.jpg
