Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
LES ENGAGÉS,2,,Steven Royez,https://www.facebook.com/profile.php?id=100069004246461,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6540_56044_Lobbes_LES ENGAGÉS.pdf,https://ds1.static.rtbf.be/uploader/image/8/a/e/beta_6611eecd1cf4b1013f7d15a8709ce1df.jpg
MR - Lobbes,5,,Sandrine Duvivier Colpo,https://lobbes.mr.be/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6540_56044_Lobbes_MR - Lobbes.pdf,https://ds1.static.rtbf.be/uploader/image/c/7/4/beta_659c00b46b509c3e49c5dd183d240dfd.png
CC,6,,Denis Uyttebroeck,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6540_56044_Lobbes_CC.pdf,
LOBBES et Vous !,7,PS,Lucien Bauduin,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/6540_56044_Lobbes_LOBBES et Vous.pdf,https://ds1.static.rtbf.be/uploader/image/4/4/8/beta_d0ca9e606855587a7a5951282de612eb.jpg
