Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Liste du Bourgmestre Kraainem Unie     ,8,,Bertrand Waucquez   ,https://kraainem-unie.be/5475/,,
Pro Kraainem                                              ,10,,Carine Pin                                          ,,,
Liste MR+Défi+Indépendants                   ,9,,Elisabeth de Foestraets-d'Ursel,,,
N-VA                                                              ,5,,Luc Hermans,,,
